date,title,text,sentiment,Clean_Text
20-05-2025,Political Opinion,Watched the debate last night. Both candidates made some good points and some questionable claims. Election day still feels far away.,neutral,watchedthedebatelastnightbothcandidatesmadesomegoodpointsandsomequestionableclaimselectiondaystillfeelsfaraway
20-05-2025,Home Cooking,"Made my standard weeknight pasta dish for dinner. Quick, reliable, nothing special but gets the job done.",neutral,mademystandardweeknightpastadishfordinnerquickreliablenothingspecialbutgetsthejobdone
20-05-2025,Digital Organization,"Sorted through old files on my computer today. Deleted some duplicates, organized some folders. Basic digital housekeeping.",neutral,sortedthrougholdfilesonmycomputertodaydeletedsomeduplicatesorganizedsomefoldersbasicdigitalhousekeepe
20-05-2025,Financial Planning,"Reviewed my budget for the month. On track with most categories, might need to adjust the grocery allocation slightly.",neutral,reviewedmybudgetforthemonthontrackwithmostcategoriesmightneedtoadjustthegroceryallocationslightly
20-05-2025,Workplace Change,Company announced they're switching project management software again. Fourth system in three years. This one looks similar to the last.,neutral,companyannouncedtheyreswitchingprojectmanagementsoftwareagainfourthsysteminthreeyearsthisonelookssimilartothelast
20-05-2025,Health Routine,"Got my annual physical today. All the standard tests, all the standard questions. Results in a week, expecting no surprises.",neutral,gotmyannualphysicaltodayallthestandardtestsallthestandardquestionsresultsinaweekexpectingnosurprise
20-05-2025,Fashion Observation,"That trend from 20 years ago is back in stores again. Fashion really is cyclical, just as everyone always says.",neutral,thattrendfromyearsagoisbackinstoresagainfashionreallyiscyclicaljustaseveryonealwayssays
20-05-2025,Self-Reflection,"I'm neither better nor worse than I was a year ago, just different. Growth isn't always dramatic or even noticeable in real time.",neutral,imneitherbetternorworsethaniwasayearagojustdifferentgrowthisntalwaysdramaticorevennoticeableinrealtime
20-05-2025,Social Media Algorithm,My feed keeps showing me content similar to what I engaged with last week. The algorithm is predictable if nothing else.,neutral,myfeedkeepsshowingmecontentsimilartowhatiengagedwithlastweekthealgorithmispredictableifnothingelse
20-05-2025,Weather Adaptation,Temperature dropped 15 degrees overnight. Pulled the jacket back out that I had just stored away. Typical spring unpredictability.,neutral,temperaturedroppeddegreesovernightpulledthejacketbackoutthatihadjuststoredawaytypicalspringunpredictability
